alcid,bufflehead,cormorant,dabbling duck,goldeneye,goose,grebe,gull,Harlequin duck,long-tailed duck,loon,merganser,ruddy duck,scaup,scoter,Z.UNK
0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0
0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,3
0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0
0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,2,0,89,0,2,0,0,0,0,0,1,0,0,0,0
0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,95,0,0,0,12,0,0,0,0,0,6,0,0
0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,38,0,0,0,0,0,0,0,0,0,0,0,0,7,0
0,24,0,0,1,6,0,1,0,0,1,0,0,0,2,3
1,0,0,0,2,25,0,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0
0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0
0,3,0,17,0,3,0,0,0,0,0,0,0,0,0,0
0,11,0,0,0,27,0,0,0,0,0,0,0,0,11,0
2,23,0,0,0,19,0,0,0,0,0,2,0,0,12,0
0,11,0,0,0,54,0,0,0,0,0,0,0,0,24,0
0,9,0,0,1,61,0,0,0,0,0,3,0,0,0,0
0,1,0,0,0,61,0,0,0,4,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,1,0,2,0,0,0,0,0,0,5,0,0,50,2
0,4,0,0,0,10,0,0,0,1,0,3,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,41,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0
0,3,0,0,5,21,0,0,0,1,0,0,0,0,9,2
0,16,0,0,3,5,0,0,0,0,1,0,0,0,24,0
0,15,0,0,0,2,0,1,0,0,0,1,0,0,3,0
0,7,0,0,0,5,0,0,0,0,0,0,0,0,13,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
0,0,0,0,3,0,1,2,0,0,2,0,0,0,6,0
0,22,0,0,2,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,45
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7
0,0,0,0,13,0,0,3,0,0,0,0,0,0,3,0
0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,8,1,0
0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,16,0,0,2,0,0,0,0,0,0,0,0,0,2,0
0,13,0,0,6,0,0,14,2,0,0,0,0,0,6,1
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,4,0,0,3,0,0,0,0,0,0,4,4
0,4,0,2,15,0,0,7,0,0,0,0,0,15,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,5,0,0,0,5,0,0,0,0,1,0,0,0,11,1
0,12,0,0,2,8,0,0,0,0,0,1,0,0,7,1
0,19,0,0,0,0,0,0,0,0,0,0,0,0,10,1
0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0
0,25,0,0,0,2,0,1,0,0,1,0,0,0,13,0
0,18,0,0,5,2,0,1,0,0,0,0,0,0,13,4
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
0,16,0,0,0,31,0,0,0,0,0,0,0,0,25,0
0,8,0,0,1,0,0,4,0,0,3,0,0,4,13,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,20,0,0,2,44,0,0,0,0,0,0,0,0,23,0
0,0,0,0,0,0,0,2,0,3,1,0,0,0,9,1
0,15,2,0,0,23,0,2,0,5,0,0,0,0,25,0
0,23,0,0,6,11,0,0,0,0,0,0,0,2,19,3
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,5,0,0,0,0,2,0,0,3,0,0,0,0,0
0,0,0,0,1,18,0,1,0,1,0,2,0,0,0,0
0,5,4,0,0,0,1,0,0,0,0,0,0,0,3,0
1,0,0,0,0,0,0,0,0,0,22,0,0,0,2,0
0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0
2,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
1,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0
0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0
4,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0
0,0,0,0,0,0,3,0,0,1,0,0,0,0,16,1
0,18,0,0,4,8,0,0,0,0,0,0,0,30,8,0
0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,1,0,0,0,14,0,0,0,2,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,9,0,0,0,2,0,0,0,1,0
0,0,0,0,0,0,2,0,0,3,1,0,0,0,23,0
0,0,1,0,0,0,2,0,0,0,5,0,0,0,1,0
0,0,0,0,0,0,7,2,0,0,7,0,0,0,1,0
0,0,1,0,0,0,0,5,0,0,12,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,27,0,0,0,0,6,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0
0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2
0,0,0,0,0,0,0,0,0,14,0,0,0,0,16,6
0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0
0,0,0,0,0,0,0,0,0,3,1,0,0,0,4,0
0,0,0,0,0,12,0,0,0,6,0,0,0,0,4,0
0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,11,0
0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,1
0,0,0,0,0,4,0,0,0,4,0,0,0,0,5,0
0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,13,1
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,0,0,1,0,0,0,0,0,0,0,0,0,4,0
0,0,0,0,0,38,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
1,0,0,0,0,0,5,0,0,1,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,55,0,0,0,0,0,0,5,0,9,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0,0,0,1,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,1,0,0,10,0,0,0,2,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,10,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,1,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0
0,0,0,0,0,7,0,0,0,2,1,0,0,0,4,0
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0
0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,19,0,0,0,0,0,0,0,0,1,0,0,0,16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,0,0,0,6,0,2,0,0,0,1,0,0,36,1
0,1,0,0,0,13,0,0,0,0,0,0,0,0,20,0
0,6,0,0,0,4,0,1,0,1,0,0,0,0,3,0
0,13,0,0,0,0,0,0,0,0,0,0,0,0,7,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,2
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,84,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,13,0,0,16,0,0,0,0,0,0
0,0,0,0,0,0,1,2,0,5,0,0,0,0,2,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,2,0,0,0,17,0,0,0,0
0,0,0,0,0,0,0,2,0,3,0,0,0,0,3,0
0,0,0,0,0,0,0,0,5,4,0,0,0,0,1,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,1,0,4,0,0,0,4,0,0,0,0
2,17,0,7,0,513,0,10,0,0,0,0,0,0,0,0
0,29,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,43,0,0,1,4,0,0,1,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0
3,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,1,0,0,0,0,2,0,0,1,5,0,0,1,0
0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17,0,0,0,0,0,4,0,0,0,0,0,0,6,0
3,16,0,0,2,10,1,3,0,0,0,0,0,3,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,1,0,0,0,0,0,0,5,1
29,0,0,0,0,0,0,7,0,0,0,1,0,0,0,3
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,2,3,0,0,0,0,6,0
0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,15,0,3,0,1,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,6,0,0,0,15,0,0,0,0
0,0,0,46,2,0,0,99,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15,0,0,0,0,0,0,0,0,0,0,0,0,11,2
0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
0,18,0,5,0,0,0,15,0,0,0,0,0,0,0,2
0,23,0,0,0,0,0,36,0,0,0,0,0,0,0,0
0,15,0,9,0,0,0,4,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0